variant,seed,test_year,group,features,sharpe_loss,net_pnl_loss,action_disagreement_pct,delta_position_changes,delta_flat_pct
Full IQN,2024,2025,VolSM_roll20,VolSM_roll20,1.16111,0.1599072,35.519999999999996,18.25,2.0399999999999996
Full IQN,2024,2025,RegimeEGScore,RegimeEGScore,-0.7295849999999999,-0.10171804999999998,15.8,5.2,-0.1800000000000004
Full IQN,2024,2025,RegimeHLScore,RegimeHLScore,-0.926605,-0.12623354999999997,24.46,18.1,2.1599999999999993
Full IQN,2024,2025,RegimeCVScore,RegimeCVScore,0.668025,0.09297424999999998,14.34,5.4,-0.5800000000000004
Full IQN,2024,2025,EG + Half-life,RegimeEGScore + RegimeHLScore,-0.76161,-0.10636224999999996,29.9,12.9,-1.9400000000000006
Full IQN,2024,2025,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,-0.23528500000000002,-0.03296225,33.839999999999996,11.45,-0.8400000000000004
Full IQN,2024,2025,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,0.934585,0.13008045,45.22,12.3,0.03999999999999972
w/o Regime-in-Reward,42,2021,ZScore20,ZScore20,0.36717000000000005,0.08285674999999999,21.772908366533862,0.85,2.01195219123506
w/o Regime-in-Reward,42,2021,SpreadReturn,SpreadReturn,0.3485950000000001,0.06493874999999999,34.04382470119522,5.7,-0.577689243027888
w/o Regime-in-Reward,42,2021,RollStd20,RollStd20,-0.2472049999999999,-0.0812702,33.147410358565736,-0.1,1.474103585657371
w/o Regime-in-Reward,42,2021,DeltaBeta5d,DeltaBeta5d,-0.13963999999999993,-0.03477779999999999,33.864541832669325,-4.25,-0.3984063745019916
w/o Regime-in-Reward,42,2021,VolS_roll20,VolS_roll20,-0.35379499999999997,-0.11541744999999999,27.171314741035854,0.6,1.7928286852589643
w/o Regime-in-Reward,42,2021,VolSM_roll20,VolSM_roll20,0.37084500000000004,0.052605349999999974,28.42629482071713,-2.55,0.45816733067729143
w/o Regime-in-Reward,42,2021,RegimeEGScore,RegimeEGScore,-0.0023449999999999595,-0.0009278500000000148,1.1155378486055776,-0.25,0.019920318725099796
w/o Regime-in-Reward,42,2021,RegimeHLScore,RegimeHLScore,0.18815,0.02905539999999998,13.924302788844622,-2.9,0.7968127490039846
w/o Regime-in-Reward,42,2021,RegimeCVScore,RegimeCVScore,-0.2601799999999999,-0.1039589,27.231075697211157,3.05,1.5936254980079687
w/o Regime-in-Reward,42,2021,EG + Half-life,RegimeEGScore + RegimeHLScore,0.0909300000000001,0.005890750000000009,12.609561752988046,-0.25,0.8565737051792833
w/o Regime-in-Reward,42,2021,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,0.13569000000000006,0.005628900000000008,32.788844621513945,-0.3,2.2709163346613552
w/o Regime-in-Reward,42,2021,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,-1.1827999999999999,-0.29712255,54.62151394422311,0.4,3.087649402390439
w/o Regime-in-Reward,42,2022,ZScore20,ZScore20,-0.98543,-0.2667299,20.04,-4.2,0.5599999999999999
w/o Regime-in-Reward,42,2022,SpreadReturn,SpreadReturn,0.06058000000000006,0.016044399999999945,37.56,-7.65,0.9400000000000001
w/o Regime-in-Reward,42,2022,RollStd20,RollStd20,0.0971600000000001,0.024254799999999944,22.759999999999998,0.9,1.78
w/o Regime-in-Reward,42,2022,DeltaBeta5d,DeltaBeta5d,-0.69662,-0.18888100000000002,26.78,0.7,1.7
w/o Regime-in-Reward,42,2022,VolS_roll20,VolS_roll20,-1.1547049999999999,-0.31272245,31.560000000000002,-6.5,3.12
w/o Regime-in-Reward,42,2022,VolSM_roll20,VolSM_roll20,0.06882000000000008,0.01862289999999995,25.2,6.4,2.12
w/o Regime-in-Reward,42,2022,RegimeEGScore,RegimeEGScore,0.27001000000000003,0.07221714999999992,6.36,3.25,1.7400000000000002
w/o Regime-in-Reward,42,2022,RegimeHLScore,RegimeHLScore,-0.3366699999999999,-0.09238790000000002,11.879999999999999,3.4,1.04
w/o Regime-in-Reward,42,2022,RegimeCVScore,RegimeCVScore,-0.524955,-0.14306725,25.860000000000003,-2.85,2.52
w/o Regime-in-Reward,42,2022,EG + Half-life,RegimeEGScore + RegimeHLScore,-0.023619999999999954,-0.008005950000000053,11.72,6.9,1.6
w/o Regime-in-Reward,42,2022,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,-0.63974,-0.1740042,25.1,-4.0,1.98
w/o Regime-in-Reward,42,2022,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,-0.69323,-0.18983535,44.32,-7.05,2.1
w/o Regime-in-Reward,42,2023,ZScore20,ZScore20,-0.12888500000000006,-0.01890379999999997,25.34136546184739,1.2,-0.3614457831325295
