variant,seed,test_year,group,features,repeat,block_length,n_days,baseline_sharpe,perturbed_sharpe,sharpe_loss,baseline_net_pnl,perturbed_net_pnl,net_pnl_loss,action_disagreement_pct,delta_position_changes,delta_flat_pct
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,2,20,251,-0.8102,-1.4601,0.6498999999999999,-0.19155,-0.352285,0.16073500000000002,35.0597609561753,15,5.976095617529879
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,3,20,251,-0.8102,-1.7381,0.9279,-0.19155,-0.424535,0.232985,37.05179282868526,-2,0.3984063745019917
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,4,20,251,-0.8102,-1.4043,0.5941000000000001,-0.19155,-0.33543,0.14388,27.091633466135455,-3,1.195219123505975
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,5,20,251,-0.8102,-1.0503,0.24009999999999998,-0.19155,-0.255929,0.06437900000000002,29.08366533864542,21,3.5856573705179287
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,6,20,251,-0.8102,-0.746,-0.06420000000000003,-0.19155,-0.180537,-0.011012999999999995,27.091633466135455,-6,2.7888446215139417
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,7,20,251,-0.8102,-0.5517,-0.25850000000000006,-0.19155,-0.135365,-0.056184999999999985,28.68525896414343,18,2.7888446215139417
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,8,20,251,-0.8102,-0.948,0.13779999999999992,-0.19155,-0.22565,0.03409999999999999,26.693227091633464,15,3.187250996015937
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,9,20,251,-0.8102,-0.225,-0.5852,-0.19155,-0.05327,-0.13828000000000001,27.490039840637447,8,3.9840637450199203
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,10,20,251,-0.8102,-0.6914,-0.11880000000000002,-0.19155,-0.169774,-0.02177599999999999,31.07569721115538,7,4.780876494023904
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,11,20,251,-0.8102,-1.1751,0.3649,-0.19155,-0.281726,0.09017599999999998,37.84860557768924,-3,5.976095617529879
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,12,20,251,-0.8102,-0.3445,-0.46570000000000006,-0.19155,-0.084606,-0.106944,27.490039840637447,18,0.7968127490039834
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,13,20,251,-0.8102,-1.0629,0.2526999999999999,-0.19155,-0.256887,0.06533699999999998,39.8406374501992,19,6.37450199203187
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,14,20,251,-0.8102,-1.2764,0.46619999999999995,-0.19155,-0.296653,0.105103,28.68525896414343,3,3.9840637450199203
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,15,20,251,-0.8102,-0.455,-0.3552,-0.19155,-0.108359,-0.083191,30.677290836653388,16,5.577689243027887
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,16,20,251,-0.8102,-0.8932,0.08299999999999996,-0.19155,-0.220335,0.028785000000000005,24.701195219123505,14,0.0
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,17,20,251,-0.8102,-0.6953,-0.1149,-0.19155,-0.164278,-0.02727199999999999,23.107569721115535,5,1.9920318725099584
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,18,20,251,-0.8102,-1.0709,0.26069999999999993,-0.19155,-0.260038,0.068488,29.482071713147413,-4,1.9920318725099584
Full IQN,42,2021,VolSM_roll20,VolSM_roll20,19,20,251,-0.8102,-0.327,-0.4832,-0.19155,-0.07908,-0.11247,35.85657370517929,0,5.577689243027887
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,0,20,251,-0.8102,-0.718,-0.09220000000000006,-0.19155,-0.169035,-0.022515000000000007,1.9920318725099602,2,0.7968127490039834
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,1,20,251,-0.8102,-0.7824,-0.027800000000000047,-0.19155,-0.184426,-0.0071239999999999915,1.9920318725099602,0,0.0
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,2,20,251,-0.8102,-0.7287,-0.08150000000000002,-0.19155,-0.171516,-0.020033999999999996,2.3904382470119523,0,0.3984063745019917
Full IQN,42,2021,RegimeEGScore,RegimeEGScore,3,20,251,-0.8102,-0.7437,-0.0665,-0.19155,-0.175139,-0.01641100000000001,1.593625498007968,0,0.3984063745019917
